LAT,LONG,OBJECTID,PROVINCE,DISTRICT,SECTOR,CELL,VILLAGE,NAME,TYPE,SOURCE,CAPTURE
-2.660777778,29.726472222,873,SOUTH,HUYE,MUKURA,BUKOMMEYE, ,GS MUBUMBANO,Secondary,Ministry of education,2015
-2.648166666,29.749805555,874,SOUTH,HUYE,MUKURA,RANGO A, ,GS NKUBI,Secondary,Ministry of education,2015
-2.409138889,29.762194444,875,SOUTH,HUYE,KINAZI,SAZANGE,NYABISINDU,GS MAZA,Secondary,Ministry of education,2015
-2.389555555,29.786777778,876,SOUTH,HUYE,KINAZI,GAHANA,GASAKA,GS KINAZI,Secondary,Ministry of education,2015
-2.629861111,29.756166667,877,SOUTH,HUYE,TUMBA,CYIMANA,UBWIYUNGE,GROUPE SCOLAIRE CYARWA,Secondary,Ministry of education,2015
-2.623083333,29.719888889,878,SOUTH,HUYE,TUMBA,MPARE,MUSANGE,GROUPE SCOLAIRE MUSANGE,Secondary,Ministry of education,2015
-2.508527778,29.612333334,879,SOUTH,HUYE,TUMBA,KARAMBI,GITUNTU,GROUPE SCOLAIRE NYARUNYINYA SAINTE,Secondary,Ministry of education,2015
-2.472472223,29.649055555,880,SOUTH,HUYE,KIGOMA,MUSEBEYA,NYARUREMBO,GROUPE SCOLAIRE GISHIHE,Secondary,Ministry of education,2015
-2.555555555,29.704805555,881,SOUTH,HUYE,HUYE,SOVU,RWEZAMENYO,GROUPE SCOLAIRE SOVU,Secondary,Ministry of education,2015
-2.58575,29.68675,882,SOUTH,HUYE,HUYE,NYAKAGEZI,MBUBA,GROUPE SCOLAIRE MPUNGWE,Secondary,Ministry of education,2015
-2.585888889,29.713944445,883,SOUTH,HUYE,HUYE,RUKIRA,MAGONDE,GROUPE SCOLAIRE RUKIRA,Secondary,Ministry of education,2015
-2.428416666,29.709888889,884,SOUTH,HUYE,RWANIRO,KIBIRARO,MUREHE,GS SHEKE,Secondary,Ministry of education,2015
-2.4355,29.675638889,885,SOUTH,HUYE,RWANIRO,KAMWAMBI,KAMWAMBI,GS KAMWAMBI,Secondary,Ministry of education,2015
-2.496055556,29.728666666,886,SOUTH,HUYE,RUHASHYA,RUGOGWE,AKANYANA,GS RUGOGWE,Secondary,Ministry of education,2015
-2.539361111,29.762611111,887,SOUTH,HUYE,RUHASHYA,KARAMA,UMUYINZA,GS KARAMA,Secondary,Ministry of education,2015
-2.593222222,29.717305556,888,SOUTH,HUYE,NGOMA,KABUREMERA,RUNGA,RUNGA PRIMARY SCHOOL,Primary,Ministry of education,2015
-2.634722222,29.746305555,889,SOUTH,HUYE,TUMBA,RANGO B,NTANGARUGERO,FAITH PREPARATION ACADEMY,Primary,Ministry of education,2015
-1.960861111,29.857472222,890,SOUTH,KAMONYI,KARAMA,BITARE,KINKERI,E.P NYAKABUYE,Primary,Ministry of education,2015
-1.942583333,29.865277777,891,SOUTH,KAMONYI,KARAMA,MUGANZA,NYARUTEJA,E.P RWISHIMA,Primary,Ministry of education,2015
-1.864888889,29.872388889,892,SOUTH,KAMONYI,KAYENZI,KIRWA,GISIZI,E.P GISIZI,Primary,Ministry of education,2015
-2.019583333,29.846527778,893,SOUTH,KAMONYI,MUSAMBIRA,KARENGERA,KAMAYANJA,E.P MUSAMBIRA,Primary,Ministry of education,2015
-2.041,29.828916667,894,SOUTH,KAMONYI,MUSAMBIRA,KIVUMU,WIMANA,WIMANA PRIMARY SCHOOL,Primary,Ministry of education,2015
-2.016722222,29.834694444,895,SOUTH,KAMONYI,MUSAMBIRA,RUKAMBURA,NYAMIREMBE,E.P RUKAMBURA,Primary,Ministry of education,2015
-2.064527778,29.972222222,896,SOUTH,KAMONYI,RUGALIKA,NYARUBUYE,REMERA,E.P KIBOGA,Primary,Ministry of education,2015
-2.007777778,29.929472222,897,SOUTH,KAMONYI,RUGALIKA,SHERI,KIGARAMA,E.P KINYAMBI,Primary,Ministry of education,2015
-2.015138889,29.972083333,898,SOUTH,KAMONYI,RUGALIKA,MASAKA,RWOMONDO,E.P MASAKA,Primary,Ministry of education,2015
-2.039,29.955444445,899,SOUTH,KAMONYI,RUGALIKA,NYARUBUYE,RUHOGO,E.P RUGARIKA II,Primary,Ministry of education,2015
-1.967333333,29.947194444,900,SOUTH,KAMONYI,RUNDA,MUGANZA,NYAGACYAMO,E.P MUGANZA,Primary,Ministry of education,2015
-1.91175,29.954083333,901,SOUTH,KAMONYI,RUNDA,KAGINA,KAGURA,E.P KAGINA,Primary,Ministry of education,2015
-1.953833334,29.988333333,902,SOUTH,KAMONYI,RUNDA,RUYENZI,NYARUTARE,HILL TOP ACADEMY,Primary,Ministry of education,2015
-2.188222222,29.967361111,903,SOUTH,KAMONYI,MUGINA,KABUGANDO,CYERU,E.P CYERU,Primary,Ministry of education,2015
-2.139111111,29.951416667,904,SOUTH,KAMONYI,MUGINA,JENDA,MUNINI,E.P JENDA,Primary,Ministry of education,2015
-2.091277778,29.976888889,905,SOUTH,KAMONYI,MUGINA,NTEKO,NYAGISOZI,E.P NYAGISOZI,Primary,Ministry of education,2015
-2.097222222,29.996583333,906,SOUTH,KAMONYI,MUGINA,NTEKO,RUSORO,E.P RUSORO,Primary,Ministry of education,2015
-2.105666667,29.823944445,907,SOUTH,KAMONYI,NYARUBAKA,GITARE,NYABITARE,E.P GITARE,Primary,Ministry of education,2015
-2.082166667,29.854944444,908,SOUTH,KAMONYI,NYARUBAKA,KAMBYEYI,KIRWA,E.P KAMBYEYI,Primary,Ministry of education,2015
-2.091694445,29.867638889,909,SOUTH,KAMONYI,NYARUBAKA,KAMBYEYI,NYAGIHAMBA,E.P NYAGIHAMBA,Primary,Ministry of education,2015
-1.89725,29.893861111,910,SOUTH,KAMONYI,NGAMBA,KAZIRABONDE,BIGORE,E.P MASOGWE,Primary,Ministry of education,2015
-1.886583333,29.912194445,911,SOUTH,KAMONYI,NGAMBA,KAZIRABONDE,MUNOGA,E.P MUNOGA,Primary,Ministry of education,2015
-1.952944444,29.903055555,912,SOUTH,KAMONYI,RUKOMA,BUGULI,TUNZA,E.P KANYINYA,Primary,Ministry of education,2015
-1.932083334,29.926805556,913,SOUTH,KAMONYI,RUKOMA,MUREHE,GAFONOGO,E.P MUREHE CATHOLIQUE,Primary,Ministry of education,2015
-1.995638889,29.888972222,914,SOUTH,KAMONYI,GACURABWENGE,NKINGO,ROBONA,E.P RUBONA,Primary,Ministry of education,2015
-1.995138889,29.913361111,915,SOUTH,KAMONYI,GACURABWENGE,GIHINGA,RYABITANA,E.P RYABITANA,Primary,Ministry of education,2015
-1.969611111,29.885361111,916,SOUTH,KAMONYI,GACURABWENGE,GIHIRA,BUGABA,E.P GACURABWENGE PROTESTANT,Primary,Ministry of education,2015
-2.005388889,29.878277778,917,SOUTH,KAMONYI,GACURABWENGE,GIHIRA,MIGINA,E.P MUGINA,Primary,Ministry of education,2015
-2.048555556,29.924861111,918,SOUTH,KAMONYI,NYAMIYAGA,KIDAHWE,MAGU,E.P MAGU,Pre-Primary,Ministry of education,2015
-2.101833334,29.892,919,SOUTH,MUHANGA,NYAMABUYE,GIFUMBA,KIREHE,E.P.PRUTARABANA,Primary,Ministry of education,2015
-2.072388889,29.948972222,920,SOUTH,KAMONYI,NYAMIYAGA,NGOMA,KIVUGIZA,E.P NGOMA,Primary,Ministry of education,2015
